udacity-11,udacity,udacity,designing infrastructure and managing migration,https://www.udacity.com/course/designing-infrastructure-and-managing-migration--cd0357,course,in this course you will go over the best practices for implementing high availability within the azure cloud using different solutions. we will create a backup strategy/plan. we'll go through migrating on-premise resources into the azure cloud with built-in tools. we will go over how to monitor and optimize migrated resources to ensure they are running at their optimum level using azure monitor and advisor respectively. we will also go over how to use arm templates to automate the provisioning of resources using infrastructure as code as well as enforcing an organization's policies and requirements automatically through azure policy and azure blueprint.,none,none,none, advanced,4 weeks,disaster recovery plans -  azure resource manager -  cloud availability -  azure load balancing services -  identity and access management fundamentals -  cloud blueprints -  azure site recovery -  azure blueprints -  cloud migration strategy -  azure virtual machine backup -  azure desired state configuration -  cloud design principles -  cloud migration -  azure migrate -  route based vpn -  cloud computing business context -  azure network security groups,azure cli- computer networking basics- json- virtual machine management- azure development- container orchestration- vpn- ci/cd,paid 
udacity-12,udacity,udacity,growth product manager,https://www.udacity.com/course/growth-product-manager-nanodegree--nd037,nanodegree program,in this nanodegree you will learn to build acquisition funnels identify core customers and optimize growth loop models.,4.6,5,39, beginner,2 months,growth loops -  product strategy -  a/b testing -  experiment metrics -  aarrr metrics framework -  target personas -  growth bottlenecks -  ansoff matrix -  product strategy business context -  experiment design -  project evaluation -  growth metrics - lifetime value -  customer retention tactics -  cohort analysis -  ux friction -  experiment design -  conversion rate -  activation metrics -  user journey maps -  ice scoring model -  customer churn rate -  audience behavior tracking -  user personas - product monetization metrics -  product monetization strategy -  target personas -  premium value -  customer acquisition cost -  product monetization tactics -  product financial metrics -  cost per acquisition -  ux design principles -  product channel strategy -  growth metrics,product kpis- professional presentations- interpreting test results- user personas- market segmentation- intermediate spreadsheet use- basic descriptive statistics,paid 
udacity-13,udacity,udacity,ai for business leaders,https://www.udacity.com/course/ai-for-business-leaders--nd054,nanodegree program,formulate and evaluate proposals grounded in first principles when assessing opportunities to embed machine learning and artificial intelligence into a corporate strategy.,4.6,5,81, intermediate,2 months,machine learning fluency -  beta testing -  machine learning dataset fundamentals -  machine learning system architectures -  machine learning use cases -  product storyboarding -  product proposals -  model performance metrics -  ai business context -  product roadmaps -  dataset annotation -  ai fluency -  machine learning experiments -  iterative product design -  overfitting prevention -  deep learning fluency -  reinforcement learning applications -  ethical ai,basic probability -  basic descriptive statistics,paid 
udacity-14,udacity,udacity,computer vision,https://www.udacity.com/course/computer-vision-nanodegree--nd891,nanodegree program,master the computer vision skills behind advances in robotics and automation. write programs to analyze images implement feature extraction and recognize objects using deep learning models.,4.7,5,450, advanced,3 months,object detection -  pytorch -  image classification -  data augmentation -  k-means clustering -  feature visualization -  convolutional kernels -  object recognition -  hough transforms -  convolutional neural networks -  neural network basics -  feature embeddings -  2d image transforms -  facial recognition -  neural network activation -  feature detection - recurrent neural networks -  attention mechanisms -  long-short term memory networks -  yolo algorithm -  model training -  convolutional neural networks -  neural network memory -  image caption generation - object tracking -  slam -  object localization -  feature matching,object-oriented programming basics- intermediate python- neural network basics- basic probability- deep learning framework proficiency- object-oriented python- basic arithmetic,paid 
udacity-15,udacity,udacity,introduction to computer vision,https://www.udacity.com/course/introduction-to-computer-vision--cd0360,course,master computer vision and image processing essentials. learn to extract important features from image data and apply deep learning techniques to classification tasks,none,none,none, advanced,4 weeks,object detection -  pytorch -  image classification -  data augmentation -  k-means clustering -  feature visualization -  convolutional kernels -  object recognition -  hough transforms -  convolutional neural networks -  neural network basics -  feature embeddings -  2d image transforms -  facial recognition -  neural network activation -  feature detection,object-oriented programming basics- intermediate python- neural network basics- basic probability- deep learning framework proficiency,paid 
udacity-16,udacity,udacity,data analyst,https://www.udacity.com/course/data-analyst-nanodegree--nd002,nanodegree program,learn to clean up messy data uncover patterns and insights make predictions using machine learning and clearly communicate your findings.,4.8,5,1184, intermediate,3 months,pandas -  exploratory data analysis -  basic data visualizations -  jupyter notebooks -  data storytelling -  data analysis process -  numpy -  data manipulation - data cleaning -  data storage -  data tidiness assessment -  data gathering -  pandas -  data quality assessment -  data wrangling -  file i/o - latent variables -  data visualization design -  data fluency -  exploratory data analysis -  professional presentations -  data limitations and biases -  data storytelling -  jupyter notebooks -  quantitative data visualization,basic python- basic descriptive statistics- pandas- data analysis process- basic sql- inferential statistics- elementary algebra,paid 
udacity-17,udacity,udacity,data visualization with matplotlib and seaborn,https://www.udacity.com/course/data-visualization-with-matplotlib-and-seaborn--cd12532,course,learn to apply sound design and data visualization principles to the data analysis process. learn how to use analysis and visualizations to tell a story with data.,none,none,none, intermediate,4 weeks,latent variables -  data visualization design -  data fluency -  exploratory data analysis -  professional presentations -  data limitations and biases -  data storytelling -  jupyter notebooks -  quantitative data visualization,data analysis process- basic sql- inferential statistics- elementary algebra- basic python- basic descriptive statistics,paid 
udacity-18,udacity,udacity,programming for data science with python,https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104,nanodegree program,learn programming skills needed to uncover patterns and insights in large data sets running queries with relational databases and working with unix shell and git.,4.8,5,807, beginner,2 months,numpy -  pandas -  control flow -  python scripting -  built-in python functions -  python methods -  python function definition -  python package management -  python data types -  iterators -  python exception handling -  python best practices -  python operators -  python data structures -  docstrings -  anaconda -  python ides -  variable scope -  list comprehension -  python syntax -  user input handling - git -  unix shell,no experience required,paid 
udacity-19,udacity,udacity,programming for data science with r,https://www.udacity.com/course/programming-for-data-science-nanodegree-with-r--nd118,nanodegree program,this programming for data science with r nanodegree program provides an overview of data analysis and programming. in the sql course students learn to use sql to answer complex business problems including basic commands joins and aggregations. in the r course students learn programming fundamentals and topics such as data types functions loops and conditional statements. they learn to read and manipulate data in r create basic visualizations and perform statistical analysis. the version control course teaches students to use git and github to manage versions of programs and collaborate with others. these courses include practical projects where students use their skills to analyze real data.,4.7,5,47, beginner,2 months,control flow in r -  r data structures -  r function definition -  data structures -  r syntax -  ides,no experience required,paid 
udacity-20,udacity,udacity,introduction to version control,https://www.udacity.com/course/introduction-to-version-control--cd0419,course,learn how to use version control to save and share your projects with others.,none,none,none, beginner,3 weeks,git -  unix shell,no experience required,paid 
udacity-21,udacity,udacity,data scientist,https://www.udacity.com/course/data-scientist-nanodegree--nd025,nanodegree program,get hands-on experience running data pipelines designing experiments building recommendation systems and more.,4.8,5,781, advanced,4 months,blog posts -  predictive analytics -  data storytelling -  ai algorithms in python -  statistical modeling fundamentals -  exploratory data analysis -  github portfolios -  crisp-dm - coding best practices -  object-oriented programming basics -  logging -  basic web development -  magic methods -  pip -  flask -  plotly -  code reviews -  unit testing -  bootstrap -  code refactoring - scikit-learn -  data cleaning -  machine learning pipeline creation -  part of speech tagging -  feature engineering -  data ingestion -  sqlite -  etl -  tf-idf -  bag of words -  machine learning pipeline fundamentals -  entity recognition -  tokenization -  lemmatization -  data preparation -  feature extraction -  data normalization -  sentiment analysis -  hyperparameter tuning -  data pre-processing - interpreting test results -  smart experiments -  experiment control -  recommendation engine fluency -  matrix factorization -  bias detection -  recommendation engine business context -  latent variables -  ai algorithms in python -  recommendation engines -  experiment metrics -  experiment design,predictive analytics- scikit-learn- numpy- basic statistical modeling- pandas- basic python- command line interface basics- python package management- git- python data analysis libraries- basic sql- python for data science- json- relational database proficiency- data wrangling- basic descriptive statistics- relational database basics- data visualization- linear algebra- basic calculus- inferential statistics,paid 
udacity-22,udacity,udacity,small datasets in machine learning,https://www.udacity.com/course/small-data--cd12528,course,this learning journey is designed to provide a comprehensive understanding of machine learning models and techniques specifically tailored for small datasets. you'll learn how to effectively utilize small datasets to build powerful models while avoiding common pitfalls associated with data scarcity. we'll cover methodologies and practical applications allowing you to develop a strong foundation in machine learning techniques that apply to small dataset problems so you can successfully apply these techniques in your projects.,none,none,none, intermediate,4 weeks,transfer learning -  variational autoencoders,probability and statistics -  intermediate python -  basic machine learning,paid 
udacity-23,udacity,udacity,machine learning devops engineer,https://www.udacity.com/course/machine-learning-dev-ops-engineer-nanodegree--nd0821,nanodegree program,the machine learning devops engineer nanodegree program focuses on the software engineering fundamentals required to successfully streamline the deployment of data and machine-learning models in a production-level environment. students will build the devops skills required to automate the various aspects and stages of machine learning model building and monitoring over time.,4.6,5,87, advanced,4 months,git -  python testing -  model drift -  github collaboration -  coding best practices -  python documentation -  pep8 -  linting -  code refactoring -  test automation -  python exception handling -  logging -  github branches -  code reviews -  unit testing - machine learning configuration management -  exploratory data analysis -  weights & biases -  data cleaning -  model deployment -  hydra -  data versioning -  non-deterministic data testing -  machine learning pipeline creation -  deterministic data testing -  pytest -  mlflow -  data validation -  model testing -  machine learning experiment tracking -  data pre-processing for ml -  model evaluation -  inference pipelines -  data splitting -  model performance metrics - machine learning ops troubleshooting -  automated machine learning -  ml project reporting -  automated model scoring -  api configuration -  model drift -  continuous model updating -  api requests -  model score recording -  machine learning data recording -  data ingestion -  model deployment - dvc -  continuous integration -  machine learning experiment tracking -  software development automation -  github actions -  continuous deployment -  unit testing -  heroku -  fastapi -  api development -  model documentation -  git -  aequitas -  api testing -  machine learning pipeline creation -  data slicing -  api deployment -  model bias analysis,git- python for data science- jupyter notebooks- intermediate python- basic descriptive statistics- basic machine learning- pytest- machine learning frameworks in python- rest apis- command line interface basics,paid 
udacity-24,udacity,udacity,building a reproducible model workflow,https://www.udacity.com/course/building-a-reproducible-model-workflow--cd0581,course,this course empowers the students to be more efficient effective and productive in modern real-world ml projects by adopting best practices around reproducible workflows. in particular it teaches the fundamentals of mlops and how to: a) create a clean organized reproducible end-to-end machine learning pipeline from scratch using mlflow b) clean and validate the data using pytest c) track experiments code and results using github and weights & biases d) select the best-performing model for production and e) deploy a model using mlflow. along the way it also touches on other technologies like kubernetes kubeflow and great expectations and how they relate to the content of the class.,none,none,none, advanced,4 weeks,machine learning configuration management -  exploratory data analysis -  weights & biases -  data cleaning -  model deployment -  hydra -  data versioning -  non-deterministic data testing -  machine learning pipeline creation -  deterministic data testing -  pytest -  mlflow -  data validation -  model testing -  machine learning experiment tracking -  data pre-processing for ml -  model evaluation -  inference pipelines -  data splitting -  model performance metrics,jupyter notebooks -  intermediate python,paid 
